"Entity","Code","World.Region.according.to.the.World.Bank","Combined.total.net.enrolment.rate..primary..both.sexes","Total.net.enrolment.rate..primary..gender.parity.index..GPI.","Learning.Adjusted.Years.of.School","Harmonized.Test.Scores","GDP.per.capita..PPP..constant.2017.international..."
"Sweden","SWE","Europe and Central Asia",99.18177,0.99736,11.580874,519.36176,51331.28
"Switzerland","CHE","Europe and Central Asia",93.19583,0.99831,10.933773,515.13904,67928.195
"Tajikistan","TJK","Europe and Central Asia",98.28703,0.98874,6.785475,390.56555,3651.9426
"Tanzania","TZA","Sub-Saharan Africa",81.32921,1.04213,4.4849176,388.48016,2552.5469
"Thailand","THA","East Asia and Pacific",90.3769548951049,0.997059034482759,8.68309,426.59998,16865.549
"Togo","TGO","Sub-Saharan Africa",90.73097,0.98174,5.9727387,383.7178,2058.565
"Tonga","TON","East Asia and Pacific",85.94145,1.02175,7.1402106,385.9568,6357.07
"Trinidad and Tobago","TTO","Latin America and Caribbean",90.3769548951049,0.997059034482759,9.115808,458.28894,23392.992
"Tunisia","TUN","Middle East and North Africa",90.3769548951049,1.01986,6.494052,384.07874,10040.124
"Turkey","TUR","Europe and Central Asia",87.90006,0.99385,9.227495,477.96265,28726.191
"Tuvalu","TUV","East Asia and Pacific",76.2475,0.96306,5.9977837,346.49796,4577.966
"Uganda","UGA","Sub-Saharan Africa",90.3769548951049,0.997059034482759,4.335872,397.15967,2240.4902
"Ukraine","UKR","Europe and Central Asia",90.3769548951049,0.997059034482759,9.874516,478.17334,12407.79
"United Arab Emirates","ARE","Middle East and North Africa",95.02753,0.97461,9.645997,448.04068,67668.29
"United Kingdom","GBR","Europe and Central Asia",99.49182,0.99702,11.538006,520.35645,41895.824
"United States","USA","North America",94.62633,0.99879,10.55677,511.79868,60158.91
"Uruguay","URY","Latin America and Caribbean",99.3775,1.00266,8.551203,437.69662,22073.375
"Uzbekistan","UZB","Europe and Central Asia",94.59704,0.98719,9.133364,474.07513,7407.7275
"Vanuatu","VUT","East Asia and Pacific",79.84105,1.00841,5.6242585,347.68582,2848.9702
"Vietnam","VNM","East Asia and Pacific",90.3769548951049,1.02706,10.680542,519.1003,10450.621
"Yemen","YEM","Middle East and North Africa",84.16556,0.87936,4.1787615,424.454429883041,20459.0298643275
"Zambia","ZMB","Sub-Saharan Africa",83.16745,1.04603,5.036293,358.14044,3183.651
"Zimbabwe","ZWE","Sub-Saharan Africa",90.3769548951049,0.997059034482759,7.0066104,396.13882,1990.3195
